region,scraped_datetime,last_updated,odp,odp_done,total_odp,pdp,pdp_death,pdp_done,total_pdp,positive,positive_recovered,positive_death,total_positive
Kabupaten Bogor,2020-04-15 16:31:34.576602,,402.0,558.0,,372.0,13.0,181.0,,36.0,4.0,5.0,
Kabupaten Sukabumi,2020-04-15 16:31:34.698384,2020-04-14,31,176,,4,,17,,8,0,0,
Kabupaten Cianjur,2020-04-15 16:31:34.698506,,418,116,,19,5,6,,0,0,0,
Kabupaten Bandung,2020-04-15 16:31:37.577153,15 April 2020,251,968,,51,,69,,16,2,2,
Kabupaten Garut,2020-04-15 16:31:52.078892,,181,1816,,8,,23,,3,0,0,
Kabupaten Tasikmalaya,2020-04-15 16:31:52.331354,,181,1816,,8,,23,,3,0,0,
Kabupaten Ciamis,2020-04-15 16:31:52.331425,14 April 2020,363,1.165,,5,3,11,,2,,,
Kabupaten Kuningan,2020-04-15 16:31:53.531562,cannot use absolute path on element,149,1014,,27,,list index out of range,,3,0,0,
Kabupaten Majalengka,2020-04-15 16:31:53.611280,15 April 2020,158,227,,5,,20,,1,0,0,
Kabupaten Sumedang,2020-04-15 16:31:54.172626,,418,81,,4,,6,,8,,,
Kabupaten Indramayu,2020-04-15 16:31:54.437399,14 April  2020,0,269,,0,10,8,,0,0,0,
Kabupaten Subang,2020-04-15 16:31:55.206859,"Sumber Data: Gugus Tugas Kabupaten Subang, Update Terakhir: Rabu, 15 April 2020 Pukul 11:00 WIB",1.197,3.163,,2,,15,,3,0,0,
Kabupaten Karawang,2020-04-15 16:31:56.041646,2020-04-15,1160,1613,,32,3,60,,44,1,3,
Kota Bandung,2020-04-15 16:31:57.812141,2020-04-14T20:09:00+07:00,486,1969,,163,,156,,60,8,24,
Kota Cirebon,2020-04-15 16:31:57.812221,15 April 2020,27,268,,2,,3,,0,0,1,
Kota Depok,2020-04-15 16:32:00.128880,"Update Terakhir: Tuesday, 14 April 2020 | 18:00 WIB",2102,301,,579,,138,,,11,15,134
Kota Cimahi,2020-04-15 16:32:00.323112,15 Apr 2020,476,216,,27,,10,,20,1,3,
Kota Tasikmalaya,2020-04-15 16:32:00.855007,,392,605,,2,2,17,,14,2,1,
Kota Bogor,2020-04-15 16:32:00.957111,15 April 2020,368,564,,70,23,26,,48,0,10,
